work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.108;m.517;1;1.0
w.109;m.800;1;1.0
w.109;m.900;1;1.0
w.109;m.887;1;1.0
w.109;m.353;1;1.0
w.109;m.853;1;1.0
w.109;m.801;1;1.0
w.109;m.891;1;1.0
w.109;m.764;1;1.0
w.109;m.479;1;1.0
w.109;m.666;1;1.0
w.109;m.765;1;1.0
w.109;m.956;1;1.0
w.109;m.363;1;1.0
w.109;m.375;1;1.0
w.109;m.428;1;1.0
w.109;m.840;1;1.0
w.109;m.361;1;1.0
w.109;m.641;1;1.0
w.109;m.517;1;1.0
w.110;m.428;1;1.0
w.110;m.840;1;1.0
w.110;m.361;1;1.0
w.110;m.641;1;1.0
w.110;m.517;1;1.0
w.111;m.1011;1;1.0
w.111;m.644;1;1.0
w.111;m.1036;1;1.0
w.111;m.367;1;1.0
w.111;m.368;1;1.0
w.111;m.696;1;1.0
w.111;m.1025;1;1.0
w.111;m.1032;1;1.0
w.111;m.440;1;1.0
w.112;m.740;1;1.0
w.112;m.517;1;1.0
w.112;m.991;1;1.0
w.113;m.764;1;1.0
w.113;m.981;1;1.0
w.113;m.479;1;1.0
w.113;m.853;1;1.0
w.113;m.375;1;1.0
w.114;m.644;1;1.0
w.114;m.1025;1;1.0
w.114;m.1032;1;1.0
w.114;m.440;1;1.0
w.114;m.830;1;1.0
w.114;m.380;1;1.0
w.114;m.527;1;1.0
w.115;m.665;1;1.0
w.115;m.1011;1;1.0
w.115;m.1025;1;1.0
w.116;m.1011;1;1.0
w.116;m.810;1;1.0
w.116;m.1025;1;1.0
w.116;m.1032;1;1.0
w.117;m.438;1;1.0
w.117;m.386;1;1.0
w.117;m.392;1;1.0
w.118;m.902;1;1.0
w.118;m.386;1;1.0
w.118;m.527;1;1.0
w.118;m.392;1;1.0
w.119;m.869;1;1.0
w.119;m.1009;1;1.0
w.119;m.1032;1;1.0
w.119;m.641;1;1.0
w.120;m.907;1;1.0
w.120;m.544;1;1.0
w.120;m.386;1;1.0
w.120;m.1032;1;1.0
w.120;m.641;1;1.0
w.121;m.440;1;1.0
w.121;m.386;1;1.0
w.121;m.392;1;1.0
w.122;m.1012;1;1.0
w.122;m.1033;1;1.0
w.122;m.1025;1;1.0
w.122;m.687;1;1.0
w.123;m.440;1;1.0
w.123;m.386;1;1.0
w.123;m.392;1;1.0
w.124;m.1036;1;1.0
w.124;m.1033;1;1.0
w.124;m.1025;1;1.0
w.124;m.687;1;1.0
w.125;m.460;1;1.0
w.125;m.459;1;1.0
w.125;m.699;1;1.0
w.125;m.367;1;1.0
w.125;m.682;1;1.0
w.126;m.700;1;1.0
w.126;m.461;1;1.0
w.126;m.368;1;1.0
w.126;m.682;1;1.0
w.127;m.390;1;1.0
w.127;m.756;1;1.0
w.127;m.656;1;1.0
w.127;m.686;1;1.0
w.127;m.832;1;1.0
w.127;m.382;1;1.0
w.127;m.831;1;1.0
w.128;m.756;1;1.0
w.128;m.656;1;1.0
w.128;m.686;1;1.0
w.128;m.385;1;1.0
w.128;m.832;1;1.0
w.128;m.380;1;1.0
w.128;m.831;1;1.0
w.129;m.756;1;1.0
w.129;m.656;1;1.0
w.129;m.686;1;1.0
w.129;m.385;1;1.0
w.129;m.832;1;1.0
w.129;m.380;1;1.0
w.129;m.831;1;1.0
w.130;m.460;1;1.0
w.130;m.459;1;1.0
w.130;m.699;1;1.0
w.130;m.367;1;1.0
w.130;m.682;1;1.0
w.131;m.794;1;1.0
w.131;m.793;1;1.0
w.131;m.792;1;1.0
w.131;m.763;1;1.0
w.131;m.808;1;1.0
w.131;m.760;1;1.0
w.131;m.574;1;1.0
w.131;m.479;1;1.0
w.131;m.375;1;1.0
w.131;m.641;1;1.0
