material_id;material_name;image_url;item_url;unit;unit_price;expenditure;weight
m.25;*12080511002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 5 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/346/1000_750_1/RG008N0GI87IO3.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12845;шт.;41 699,30;;
m.26;*12080611002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 6 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/592/1000_750_1/RG008N0GI8FA0F.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12846;шт.;47 299,55;;
m.27;*12080711002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 7 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/ac8/1000_750_1/RG008N0GI8LVOR.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12847;шт.;53 952,40;;
m.28;*12080811002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 8 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/f27/1000_750_1/RG008N0GI8TNP8.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12848;шт.;60 430,45;;
m.29;*12080911002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 9 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/27a/1000_750_1/RG008N0GI948PK.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12849;шт.;66 030,70;;
m.30;*12081011002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 10 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/f80/1000_750_1/RG008N0GI9A4A2.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12850;шт.;71 635,70;;
m.31;*12081111002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 11 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/08a/1000_750_1/RG008N0GI9GJQF.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12851;шт.;78 111,85;;
m.32;*12081211002 REHAU RAUTHERM S Распределительный коллектор HKV-D на 12 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/499/1000_750_1/RG008N0GIAJOC6.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11538838;шт.;82 486,60;;
m.33;*12081221001 REHAU RAUTHERM S Комплект двух прямых никелирован. шаровых кранов G1 для коллекторов;https://lk.teremopt.ru/upload/resize_cache/iblock/470/1000_750_1/RG008N0QM3SEAK.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12853;шт.;6 168,35;;
m.34;*12092241001 REHAU RAUTOOL Расширительная насадка для экспандера QC 16,2х2,6 (Stabil);https://lk.teremopt.ru/upload/resize_cache/iblock/7ce/1000_750_1/RG008O1D15QLL5.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=13143;шт.;8 992,70;;
m.35;*12092261001 REHAU RAUTOOL Расширительная насадка для экспандера QC 25х3,7 (Stabil);https://lk.teremopt.ru/upload/resize_cache/iblock/638/1000_750_1/RG008O1D167DDO.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=13145;шт.;8 992,70;;
m.36;*12092271001 REHAU RAUTOOL Расширительная насадка для экспандера QC 32х4,7 (Stabil);https://lk.teremopt.ru/upload/resize_cache/iblock/5ed/1000_750_1/RG008O1D16CBU1.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=13146;шт.;8 992,70;;
m.37;*12141721001 REHAU RAUTOOL Расширительная насадка для экспандера QC 25х3,5;https://lk.teremopt.ru/upload/resize_cache/iblock/c6f/1000_750_1/RG008O1BULAO4C.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=13141;шт.;7 958,15;;
m.38;*12141751001 REHAU RAUTOOL Расширительная насадка для экспандера QC 32х4,4;https://lk.teremopt.ru/upload/resize_cache/iblock/304/1000_750_1/RG008O1BULH1SR.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=13142;шт.;7 958,15;;
m.39;*12166941001 REHAU RAUTOOL Расширительная насадка экспандера QC для метал. трубок;https://lk.teremopt.ru/upload/iblock/908/RG008O1ES62J4J.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=13154;шт.;6 282,35;;
m.40;*12179051001 REHAU RAUTHERM S Выносной датчик Nea 230 В;https://lk.teremopt.ru/upload/iblock/0a5/rg008o2172b4p0.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12697;шт.;3 706,90;;
m.41;*12180311001 REHAU RAUTHERM S Распределительный коллектор HKV на 3 контура нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/3e1/1000_750_1/rg008n0gi2iv3m.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12832;шт.;27 520,55;;
m.42;*12180411001 REHAU RAUTHERM S Распределительный коллектор HKV на 4 контура нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/0fa/1000_750_1/RG008N0GI2TBC0.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12833;шт.;31 896,25;;
m.43;*12180511001 REHAU RAUTHERM S Распределительный коллектор HKV на 5 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/116/1000_750_1/RG008N0GI36CC5.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12834;шт.;37 322,65;;
m.44;*12180611001 REHAU RAUTHERM S Распределительный коллектор HKV на 6 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/cd2/1000_750_1/RG008N0GI3UGSM.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12835;шт.;41 699,30;;
m.45;*12180711001 REHAU RAUTHERM S Распределительный коллектор HKV на 7 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/0a3/1000_750_1/RG008N0GI46RKU.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12836;шт.;48 526,00;;
m.46;*12180811001 REHAU RAUTHERM S Распределительный коллектор HKV на 8 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/resize_cache/iblock/9ce/1000_750_1/RG008N0GI5NTUS.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11334447;шт.;52 901,70;;
m.47;*12180911001 REHAU RAUTHERM S Распределительный коллектор HKV на 9 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/iblock/c2c/RG008N0GI60CFB.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12838;шт.;57 104,50;;
m.48;*12181011001 REHAU RAUTHERM S Распределительный коллектор HKV на 10 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/iblock/0d3/RG008N0GI68NHL.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12839;шт.;63 755,45;;
m.49;*12181211001 REHAU RAUTHERM S Распределительный коллектор HKV на 12 контуров нерж .сталь (без шаровых кранов);https://lk.teremopt.ru/upload/iblock/0ca/RG008N0GI6N6LF.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12841;шт.;72 681,65;;
m.50;*12391931001 REHAU RAUTHERM S Фиксатор отвода пластмас. на 90° для трубы 25;https://lk.teremopt.ru/upload/iblock/1e4/RQLAGK0MC08GHD.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12790;шт.;429,40;;
m.51;*12502771002 REHAU RAUTHERM S Муфта соед. равнопроходн. 17x2,0;https://lk.teremopt.ru/upload/resize_cache/iblock/d55/1000_750_1/RQLAGK0MBO7LVQ.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12768;шт.;824,60;;
m.52;*12502971002 REHAU RAUTHERM S Надвижная гильза 17x2,0;https://lk.teremopt.ru/upload/iblock/826/RQLAGK0MBMLJ6P.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12763;шт.;152,95;;
m.53;*12506071002 REHAU RAUTHERM S Резьбозажимное соединение для подключ. трубы 17х2 мм;https://lk.teremopt.ru/upload/resize_cache/iblock/547/1000_750_1/RQLAGK0MCEK77P.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12794;шт.;831,25;;
m.54;*12588171002 REHAU RAUTHERM S Переходник с наруж. резьбой 17-R 1/2;https://lk.teremopt.ru/upload/iblock/848/RQLAGK0MBQMS2F.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12776;шт.;1 058,30;;
m.55;*12657091001 REHAU RAUTITAN Двойной крюк с дюбелем для 2-х труб в изоляции;https://lk.teremopt.ru/upload/iblock/8a0/RQLAGK0L3H3P75.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12464;шт.;103,55;;
